Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
M-410 iC 185,27,1600,185,3143,363.4,0.5,726.8,181,4,IR,140,140,140,305,,,
M-410 iC 315,28,1600,315,3143,618.8,0.5,1237.6,124,4,IR,90,100,110,195,,,
M-410 iC 500,29,2410,500,3143,652.1,0.5,1304.1,114,4,IR,85,85,85,200,,,
M-410 iB 700,30,2700,700,3143,814.9,0.5,1629.7,75,4,IR,60,60,60,120,,,
M-710 iC 12L ,31,540,12,3123,69.4,0.09,771.1,333,6,IR,180,180,180,400,430,630,
M-710 iC 20L ,32,540,20,3110,115.2,0.06,1919.8,307,6,IR,175,175,180,350,360,600,
M-710 iC 20M ,33,530,20,2582,97.4,0.06,1623.9,307,6,IR,175,175,180,350,360,600,
M-710 iC 45M ,34,570,45,2606,205.7,0.06,3428.9,233,6,IR,180,180,180,250,250,360,
M-710 iC 50S ,35,545,50,1359,124.7,0.04,3117,230,6,IR,175,175,175,250,250,355,
M-710 iC 50T ,36,410,50,1900,231.7,0.07,3310.1,230,6,IR,175,175,175,250,250,355,
M-710 iC 50H ,37,540,50,2003,185.5,0.15,1236.4,284,5,IR,175,175,175,175,720,,
M-710 iC 50,38,560,50,2050,183,0.03,6101.2,230,6,IR,175,175,175,250,250,355,
M-710 iC 50E ,39,560,50,2050,183,0.07,2614.8,226,6,IR,175,175,175,250,240,340,
M-710 iC 70T ,40,410,70,1900,324.4,0.07,4634.1,182,6,IR,175,120,120,225,225,225,
M-710 iC 70,41,560,70,2050,256.3,0.04,6406.3,179,6,IR,160,120,120,225,225,225,
M-800 iA 60,42,820,60,2040,149.3,0.03,4975.6,228,6,IR,150,150,150,260,260,400,
M-900 iB 280,43,1700,280,2655,437.3,0.1,4372.9,119,6,IR,110,105,100,110,110,180,
M-900 iB 280L ,44,1600,280,3103,543,0.1,5430.3,128,6,IR,110,105,100,125,125,205,
